name,description,category,department,eligibilityCriteria,benefits,applicationProcess,requiredDocuments,sourceUrl,incomeLimit,ageLimit,familySizeLimit,stateSpecific,isActive
Opening and Maintenance of Boys and Girls Hostels,"The scheme &quot;Opening and Maintenance of Boys and Girls Hostelsï¿½ï¿½ï¿½ by the Adi Dravidar Welfare Department, Government of Puducherry, provides boarding/lodging and hostel facilities to the Scheduled Caste students in pursuance of their education and to dissuade dropping of education at school and college l","Education & Learning, Social Welfare & Empowerment, Housing & Shelter",Government of India,"- The applicant should be from a Scheduled Caste. - The applicant should be a Student. - The applicant should be a Native/Resident of the Union Territory of Puducherry for not less than 5 years. - For Other Economically Backward Classes, the Income of the parent/guardian should not exceed ï¿½ï¿½ï¿½ 75,000/-. - The Parent/Guardian of the applicant should not be living within a radius of 5 km from the hos",- Free Lodging. - Free Boarding. - Cash Payment in Lieu of 2 Pairs of Clothing. - Conveyance Charges for 6 Times (3 Down and 3 Up) in a Year.,"Step 1: Visit the [Official Website](https://edistrict.py.gov.in/) of the e-District Portal of the Government of Puducherry. Step 2: At the top right corner of the home page, click &quot;[Login](https://edistrict.py.gov.in/Login.aspx)&quot;. In the login screen, click &quot;[Register a New Membership](https://edistrict.py.gov.in/User/Registration.aspx)&quot;. Step 3: On the Registration Page, fill in all the mandatory fields: Username, Password, Confirm Password, Personal Details (Full Name, First Name, Email Address, Address, Current Address, Gender, Date of Birth, Mobile Number). Agree to the declaration. Fill in the Captcha Code, and click &quot;Signup&quot;. Step 4: Visit the [Official Website](https://edistrict.py.gov.in/) of the e-District Portal of the Government of Puducherry. Step 5: At the top right corner of the home page, click &quot;[Login](https://edistrict.py.gov.in/Login.aspx)&quot;. In the login screen, provide your Username and Password, fill in the Captcha Code, and ","Residence-cum-nativity Certificate, issued by the competent authority. 1. Caste Certificate. 1. Recent Passport-Size Photograph. 1. Aadhaar Card. 1. Bank Passbook. 1. Income Certificate. 1. Attested Copies of Qualifying Certificates in Respect of Exam Passed. 1. Birth Certificate. 1. Bonafide Certificate. 1. Recommendation From the Previous Hostel Warden. 1. Transfer Certificate. In the absence of an Aadhaar Card; the applicant is required to provide his/her Aadhaar Enrolment ID along with ANY ONE of the following documents - 1. Bank or Post Office Passbook with Photo. 2. Permanent Account Number (PAN) Card. 3. Passport. 4. Ration Card. 5. Voter Identity Card. 6. MGNREGA Card. 7. Kisan Photo Passbook. 8. Driving license issued by the Licensing Authority under the Motor Vehicles Act, 1988 (59 of 1988). 9. Certificate of identity having a photo of such person issued by a Gazetted Officer or a Tehsildar on an official letterhead. 10. Any other document as specified by the Department.",https://adwelfare.py.gov.in/opening-and-maintenance-boys-and-girls-hostels,,,,Puducherry,True
General Pension (A.B.O.C.W.W.B),"The scheme ï¿½ï¿½ï¿½General Pensionï¿½ï¿½ï¿½ was started by the Assam Building and Other Construction Workers Welfare Board (A.B.O.C.W.W.B), Labour Welfare Department, Government of Assam. Under this scheme, a pension shall be given to a registered beneficiary working as a building worker for not less than one year after the commencement of the Rules on completion of sixty years of age. The pension will become payable from the first day of the succeeding to the month in which the worker completed 60 yea",Social Welfare,Government of India,The applicant should be a permanent resident of Assam. 1. The applicant should be engaged in any building &amp;amp; other construction work. 1. The construction worker should be registered with the Assam Building and Other Construction Workers Welfare Board. 1. The registered worker who has completed 60 years of age shall be eligible for the pension. 1. A registered beneficiary who has worked as a building worker for at least one year upon reaching the age of sixty will be eligible for a pension.,"A pension of ï¿½ï¿½ï¿½2,000/- plus ï¿½ï¿½ï¿½100/- shall be given to a registered beneficiary for every completed year of service from the year of his/her registration. 1. The pension will become payable from the first day of the succeeding to the month in which the registered worker completed 60 yea","&gt; Registration Process under Assam Building and Other Construction Workers Welfare Board: Step 01: The eligible building &amp;amp; other construction workers can submit an online application through the official website: [https://abocwwb.assam.gov.in/](https://abocwwb.assam.gov.in/) Step 02: On the home page, click on ï¿½ï¿½ï¿½[Registration Page for New Worker](https://abocwwb.assam.gov.in/index.php/new-register)ï¿½ï¿½ï¿½ and a registration page will open. Fill in all the mandatory details and upload all the required documents. Step 03: After filling out the form, a payment option shall then prompt to allow the applicant to make the payment using UPI-based modes/Cards/net banking or even Challan. &gt; Post-Registration Process: Step 01: The registering officer shall be notified of the applications successfully submitted and the Registering officer shall scrutinize the applications. Step 02: The Registering Officer shall arrange for a scrutiny committee meeting every 15 days anapplic","> Documents required for Registration under A.B.O.C.W.W.B: 1. Passport size photograph (Applicant and Nominee) 1. Proof of Age/DOB 1. Copy of Aadhaar Card 1. Copy of Voter ID Card 1. Bank passbook first page 1. Experience Certificate/Employers Certificate (90 days working record to check eligibility) 1. Completely filled [Nomination Form](https://abocwwb.assam.gov.in/assets/images/NominationForm.pdf?)1. Completely filled [Registration Form](https://abocwwb.assam.gov.in/assets/images/Registration.pdf?)1. Any other relevant documents > Documents required for Grant of Scheme: 1. ABOCWWB ID Card 1. Attested Copy of ID Card 1. Copy of Payslip of Account Pay book Showing Monthly Contribution Deposited 1. Loan Recovery Document, if any, from the Registering Authority 1. Original Registration form with all documents submitted 1. Any other relevant documents",https://labourcommissioner.assam.gov.in/portlet-innerpage/various-welfare-benefits-for-registered-construction-workers,,,,Assam,True
Incentive Award to Inter-Caste Married Couples,"The scheme ï¿½ï¿½ï¿½Incentive Award to Inter-Caste Married Couplesï¿½ï¿½ï¿½ was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to reduce the effect of untouchability and as a step towards bringing about a castele",Social Welfare,Government of India,- The bride and groom should be citizens of India. - The marriage should be performed between Scheduled Caste and other communities. - The marriage should be registered. - The marriage should be taking place for the first time between the bride and groom. - Both bride and groom or either of them should be a native of Puducherry. - The application should be submitted within 60 days from the date of performance of marriage.,"An award with a value of ï¿½ï¿½ï¿½ 50,000/- (ï¿½ï¿½ï¿½ 20,000/ - in cash, and ï¿½ï¿½ï¿½ 30,000/- in the form of a National Sav","Step 1: Visit the [Official Website](https://edistrict.py.gov.in/) of the e-District Portal of the Government of Puducherry. Step 2: At the top right corner of the home page, click &quot;[Login](https://edistrict.py.gov.in/Login.aspx)&quot;. In the login screen, click &quot;[Register a New Membership](https://edistrict.py.gov.in/User/Registration.aspx)&quot;. Step 3: On the Registration Page, fill in all the mandatory fields: Username, Password, Confirm Password, Personal Details (Full Name, First Name, Email Address, Address, Current Address, Gender, Date of Birth, Mobile Number). Agree to the declaration. Fill in the Captcha Code, and click &quot;Signup&quot;. Step 4: Visit the [Official Website](https://edistrict.py.gov.in/) of the e-District Portal of the Government of Puducherry. Step 5: At the top right corner of the home page, click &quot;[Login](https://edistrict.py.gov.in/Login.aspx)&quot;. In the login screen, provide your Username and Password, fill in the Captcha Code, and ","- Residence-cum-nativity Certificate. - Aadhaar Card of the Bride. - Aadhaar Card of the Bridegroom. - Bank Pass Book of the Joint A/C. - Birth Certificate or TC of the Bride. - Birth Certificate or TC of the Bridegroom. - Caste Certificate of the Bride. - Caste Certificate of the Bridegroom. - First Marriage Certificate obtained from MLA/MP. - Marriage Registration Certificate. - NOC from the State Government. - Recent passport-size photograph of the Applicant. - Voter Card of the Bride. - Voter Card of the Bridegroom. In the absence of an Aadhaar Card; the applicant is required to provide his/her Aadhaar Enrolment ID along with ANY ONE of the following documents - 1. Bank or Post Office Passbook with Photo. 2. Permanent Account Number (PAN) Card. 3. Passport. 4. Ration Card. 5. Voter Identity Card. 6. MGNREGA Card. 7. Kisan Photo Passbook. 8. Driving license issued by the Licensing Authority under the Motor Vehicles Act, 1988 (59 of 1988). 9. Certificate of identity having a photo of",https://py.gov.in/sites/default/files/adwincentive-award-inter-caste-married-couples.pdf,,,,Puducherry,True
Grant Of Incentive For Marriage Between Differently Abled Person And Normal Persons,"The scheme ï¿½ï¿½ï¿½Grant Of Incentive For Marriage Between Differently Abled Person And Normal Personsï¿½ï¿½ï¿½ by the Department of Social Welfare, Government of Puducherry was introduced to encourage and support marriages between differently-abled individuals and those without disabilities. Through this scheme, an incentive of ï¿½ï¿½ï¿½1,00,000/- is provided, comprising ï¿½ï¿½ï¿½20,000 in cash and ï¿½ï¿½ï¿½80,000/- in the form of Nation",Social Welfare,Government of India,"- The applicant should be a Native/Resident of the Union Territory of Puducherry. - The applicant should have an annual income not exceeding ï¿½ï¿½ï¿½75,000/- per annum. - The bride should be above 18 years of age. - The bridegroom should be above 21 years of age. - The disability of the applicant should be 40% and above. - The marriage should be the first marriage between the bride and the groom. - The marriage should have been registered. - The application should be submitted within 120 days after marri","An incentive of ï¿½ï¿½ï¿½1,00,000/- (ï¿½ï¿½ï¿½20,000 in cash and ï¿½ï¿½ï¿½","Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the [prescribed format](https://wcd.py.gov.in/sites/default/files/wcdmarrigeofpoorbride.pdf) of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Deputy Director (Women Development) or the Child Development Project Officer (depending on the location), at least 30 days before the proposed marriage date. Step 4: Request a r","- Residence-cum-Nativity Certificate, issued by the competent authority. - Recent Passport-Size Photograph. - Bank Passbook. - Aadhaar Card 1st Applicant. - Aadhaar Card 2nd Applicant. - Anganwadi Certificate 1st Applicant. - Anganwadi Certificate 2nd Applicant if From Pondicherry (Mandatory for Differently Abled Person). - Birth Certificate 1st Applicant. - Birth Certificate 2nd Applicant. - Community Certificate 1st Applicant. - Disability Financial Assistance Card 1st Applicant. - Disability Financial Assistance Card 2nd Applicant (Mandatory for Differently Abled Person). - Income Certificate 1st Applicant. - Marriage Certificate. - Marriage Invitation. - Marriage Joint Photo. - Medical Certificate 1st Applicant. - Medical Certificate 2nd Applicant (Mandatory for Differently Abled Person). - NOC 2nd Applicant if from other state (Mandatory for Differently Abled Person). - Ration Card 1st Applicant. - Ration Card 2nd Applicant. - Residence Certificate 1st Applicant. - Voter Card 1st ",https://socwelfare.py.gov.in/grant-incentive-marriage-between-differently-abled-person-and-normal-persons,,,,Puducherry,True
Mukhyamantri Rajya Bridhhabasta Pension Yojana,"Launched by the Department of Women, Child Development &amp;amp; Social Security, Government of Jharkhand, ï¿½ï¿½ï¿½Mukhyamantri Rajya Bridhhabasta Pension Yojanaï¿½ï¿½ï¿½ aims to provide financial support to the senior citizens of Jharkhand who do not have any stable source of income or their income is not enough to support them or is insufficient. It is a Direct Benefit Transfer (DBT) scheme, so the pension amount will be directly transferred to the bank account of the beneficiary.",Social Welfare,Government of India,The applicant should be a permanent resident of Jharkhand. 1. The applicant should have attained the age of 60 years or more. 1. The applicant should have a Voter ID card and Aadhar Card. 1. The applicant should not be a beneficiary under any other Social Security pension scheme. 1. The applicant or their spouse should not be a Retired or permanently employed in Central and State Government or in public sector undertakings. 1. The applicant or their spouse should not be a recipient of Government pension or pension from Central and State Government or from public sector undertakings. 1. Applicantï¿½ï¿½ï¿½s family is not an income tax pa,"- Amount: ï¿½ï¿½ï¿½ 1,000/- per month to the eligible benefic","Step 01: The interested applicant should request the prescribed format of the application from the office of Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Circle Officer Step 02: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application form along with the documents to the concerned authority at: Office of the BDO in rural areas. Office of the SDO or Circle Officer in Municipalities and notified areas.","Copy of Voter ID card (in case, applicants age is 18 years or more). 1. Copy Aadhar Card (in case the applicant does not have an Aadhar Card they need to submit a Self-declaration for not having the same). 1. Copy of Bank Passbook. 1. Self-declaration regarding the eligibility.",https://www.jharkhand.gov.in/PDepartment/ViewDocument?id=D031DO00628062023124410458,,,,Jharkhand,True
Mukhyamantri Rajya Nirashrit Mahila Samman Pension Yojana,"Launched by the Department of Women, Child Development &amp;amp; Social Security, Government of Jharkhand, ï¿½ï¿½ï¿½Mukhyamantri Rajya Nirashrit Mahila Samman Pension Yojana ï¿½ï¿½ï¿½ aims to provide social security to women who are unable to sustain themselves with their own resources and are in need of financial assistance. It is a Direct Benefit Transfer (DBT) scheme, so the pension amount will be directly transferred to the bank account of the b",Social Welfare,Government of India,- The applicant should be a permanent resident of Jharkhand. - The applicant should have attained the age of 18 years or more. - The applicant must belong to any of the following. 1. A woman whose husband has died. 1. An abandoned woman. 1. Single Woman aged 45 years or more. - The applicant should have a Voter ID card and Aadhar Card. - The applicant should not be a beneficiary under any other Social Security pension scheme. - The applicant should not be retired or permanently employed in Central and State Government or in public sector undertakings. - The applicant or their spouse should not be a recipient of any family pension or pension from Central and State Government or from public sector undertakings. - Applicantï¿½ï¿½ï¿½s family is not an income tax payee.,"- Amount: ï¿½ï¿½ï¿½ 1,000/- per month to the eligible beneficiary.","Step 01: The interested applicant should request the prescribed format of the application from the office of Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Circle Officer Step 02: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application form along with the documents to the concerned authority at: - Office of the BDO in rural areas. - Office of the SDO or Circle Officer in Municipalities and notified areas.","- Self attested death certificate of husband. ( In case, applicantï¿½ï¿½ï¿½s husband has died) Or, Proof Letter/Recommendation Letter from the office of the BDO/SDO/Municipality (In case, applicant is an abandoned or a single woman. - Copy of Voter ID card (in case, applicants age is 18 years or more). - Copy Aadhar Card (in case the applicant does not have an Aadhar Card they need to submit a Self-declaration). - Copy of Bank Passbook. - Self-declaration regarding the eligibility.",https://www.jharkhand.gov.in/PDepartment/ViewDocument?id=D031DO00628062023124410458,,,,Jharkhand,True
Perunthalaivar Karma Veerar Kamarajar Scheme of Financial Assistance Towards Funeral Expenses of the Differently Abled Persons,"The scheme ï¿½ï¿½ï¿½Perunthalaivar Karma Veerar Kamarajar Scheme of Financial Assistance Towards Funeral Expenses of the Differently Abled Persons&quot; was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, financial assistance of ï¿½ï¿½ï¿½ 15,000/- is provided to meet the expenses in connection with funeral, in the event of the death of the differently abled person",Social Welfare,Government of India,- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The applicant should have a disability of 40% or above. - The claimant should be son/daughter/spouse or any other close relative under whose care and maintenance the differently abled person was living. - The application shall be made within 30 days from the date of death of the differently abled person.,"On the death of the differently abled person, financial assistance of ï¿½ï¿½ï¿½ 15,000/- shall be paid to the clai","Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the [prescribed format](https://socwelfare.py.gov.in/sites/default/files/funeral-expenses-differently-abled-persons.pdf) of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Direct","- Aadhaar Card of the Deceased. - Aadhaar Card of the Claimant. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Disability Certificate / Medical Certificate. - Inhumation Permit / Death Certificate. - Anganwadi Certificate. - Community Certificate. - Financial Assistance ID Card of Deceased. - Voter Card.",https://socwelfare.py.gov.in/perunthalaivar-karma-veerar-kamaraj-scheme-financial-assistance-towards-funeral-expenses-differently,,,,Puducherry,True
Annual Tour to the Differently Abled Persons,"The scheme ï¿½ï¿½ï¿½Annual Tour to the Differently Abled Personsï¿½ï¿½ï¿½ was launched by the Department of Social Welfare, Government of Puducherry. The scheme is introduced to allow the differently abled persons, especially those who hail from weaker sections of society to see the places of cultural and historic importance and acquaint themselves with various aspects of our cultura","Transport & Infrastructure, Travel & Tourism",Government of India,"- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The annual income of the applicant should not exceed ï¿½ï¿½ï¿½ 75,000/-. - The applicant should have a disability of 40% or above. - The applicant should not have performed the tour for the past ten years. - The applicant should not be affected by any contagious diseases. - The applicants may apply to this scheme only after the issue of notification in the local newspapers. - The age of the applicant should be between 18 and 50 years. - The applicant should not be a Government Servant. - The parents of the applicant should not be a Government servant. - The applicant should have registered his/her name in the Anganwadi Cen",- One free tour to various places every year. NOTE: Drugs and alcoholic items are prohibited.,"Step 1: After the issue of notification regarding the scheme in the local newspapers, the interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare De","- Aadhaar Card. - Ration Card. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Caste Certificate. - Disability Certificate / Medical Certificate. - Financial Assistance Identity Card.",https://socwelfare.py.gov.in/annual-tour-differently-abled-persons,,,,Puducherry,True
Mukhya Mantri Yuva Udyami Yojana,"The scheme &quot;Mukhya Mantri Yuva Udyami Yojana&quot; was launched on 1st August 2014 by the Department of Micro, Small &amp; Medium Enterprises, Government of Madhya Pradesh. The scheme provides loans of up to ï¿½ï¿½ï¿½10,00,000 to ï¿½ï¿½ï¿½2,00,00,000 to the citizens of Madhya Pradesh who want to set up their","Banking,Financial Services And Insurance, Business & Entrepreneurship",Government of India,- The applicant should be a permanent resident of Madhya Pradesh. - The applicant should have passed Class 10th. - The applicantï¿½ï¿½ï¿½s age should be between 18 to 40 years. - The benefit of this scheme can be availed only o,"> Financial assistance: > Margin money assistance - 15% of the capital cost of the project for the general category. (Maximum ï¿½ï¿½ï¿½ 12,00,000.) - 20% of the capital cost of the project for BPL (Maximum ï¿½ï¿½ï¿½ 18,00,000) > Interest subsidy - At the rate of 5% per annum on the capital cost of the project and at the rate of 6% per annum for women entrepreneurs, for a maximum of 7 years. (Maximum Rs 5,00,000 lakh per year) - The guarantee fee will be paid at the current rate for up to 7 year","Step 1: Visit the [official website](https://msme.mponline.gov.in/Portal/Services/msme2019/landing.html#) using the provided link Step 2: The homepage will appear, and you need to click on the [application link](https://msme.mponline.gov.in/portal/Services/DCI/Index.aspx?did=RDAx&Y=MMYUY) for the Mukhya Mantri Yuva Udyami Yojana Step 3: Various departments associated with the scheme will be displayed. Choose the department that interests you Step 4: Choose the option for registration or sign-up if you are a new application. Click the submit button after entering your name, mobile number, password, and captcha code Step 5: After submitting, you will be registered on the portal Step 6: Now, you can log in to the portal and apply for the scheme.",- Detailed Project Report - Madhya Pradesh Native Certificate - Certificate of Educational Qualification - date of birth certificate - If the land/building is on rent then the rent name - Quotations of current rates for machinery/equipment/ equipment,https://msme.mponline.gov.in/Quick%20Links/DCIE/DCIDocs/MYUY_Scheme.pdf,,,,Madhya Pradesh,True
Mukhya mantri Swarojgar Yojana,"The Mukhya Mantri Swarojgar Yojana was launched on 1 August 2014 under The Department of Micro, Small &amp; Medium Enterprises, Madhya Pradesh government gives loans up to ï¿½ï¿½ï¿½50,000 to ï¿½ï¿½ï¿½10,00,000 to the state&#39;s citizens to establish employment so that all the citizens can start employment. Under Madhya Pradesh Mukhya Mantri Swarozgar Yojana, the government provides the benefit of money margin, interest subsidy, loan guarantee, and training to the beneficiaries. It provides a minimum period of 6 months and a maximum of 7 years to repay the loan payable b","Banking,Financial Services And Insurance, Business & Entrepreneurship",Government of India,- The applicant Should be a permanent resident of Madhya Pradesh. - The applicant should have passed in the 5th class. - The applicantï¿½ï¿½ï¿½s age should be between 18 to 45 years. - The applicantï¿½ï¿½ï¿½s family should not be an income taxpayer. - The applicant should not be a defaulter of any b,"> Financial help Margin money assistance - 15% of the project cost (maximum ï¿½ï¿½ï¿½.1,00,000 for the general category. - 30% of the cost (maximum ï¿½ï¿½ï¿½2,00,000) for Below Poverty Line( BPL) , Scheduled Castes(SC) , Scheduled Tribes(ST), Other Backward Classes(OBC) (except creamy layer)/ Women/ Minority/ Disabled project. > Additional provisions - - 30% of the project cost (maximum ï¿½ï¿½ï¿½3,00,000 lakh) to the liberated nomadic and semi-nomadic tribes. - Bhopal gas victim family members are eligible for an additional 20% (maximum ï¿½ï¿½ï¿½1,00,000 on the project cost. > interest subsidy - At the rate of 5% per annum of the project cost and for women entrepreneurs at the rate of 6% per annum, for a maximum of 7 years. (Maximum ï¿½ï¿½ï¿½25,000 per annum) - Guarantee Fee (CGTMSE/: CGFMU) Up to a maximum of 7 y","Step 1: Visit the [official website](https://msme.mponline.gov.in/Portal/Services/msme2019/landing.html#) using the provided link Step 2: The homepage will appear, and you need to click on the[ application link ](https://msme.mponline.gov.in/portal/Services/DCI/Index.aspx?did=RDAx&Y=MMYUY)for the Mukhya Mantri Swarozgar Yojana Step 3: Various departments associated with the scheme will be displayed. Choose the department that interests you Step 4: Choose the option for registration or sign-up if you are a new application. Click the submit button after entering your name, mobile number, password, and captcha code Step 5: After submitting, you will be registered on the portal Step 6: Now, you can log in to the portal and apply for the scheme.",- Aadhar Card - Pan Card - Income certificate - Address proof - Passport size photo - Mobile number - 5th class mark sheet,https://msme.mponline.gov.in/Quick%20Links/DCIE/DCIDocs/MSY_Scheme.pdf,,,,Madhya Pradesh,True
Floriculture Development Scheme,"The scheme ï¿½ï¿½ï¿½Floriculture Development Schemeï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials",Agriculture,Government of India,The applicant/farmer should be a permanent resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in agriculture.,"> Pattern of Assistance: - By providing good quality flower planting material at 50% subsidy and low cost polyhouse free of cost with a minimum of 100sqm/unit area. &gt; Type of Assistance: - To motivate farmers by cultivating low volume high-value crops to increase economic income. Under this aspect, poly house and good quality flower planting materials including organic fertilizers, micronutrients, and organic-based and P.P chemicals and drip irrigation are provided.","Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at your nearest office of the Horticulture Development Officer of a CD Block/ Horticulture Circle. Mode of Selection of Beneficiary(s): Bonafide farmers having a minimum area of 0.2 (hectares) willing to invest for future expansion in terms of planting materials, infrastructures, etc. Whom to Contact: 1. [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) 2. Horticulture Development Officer",Passport-size photograph 1. Identity Proof 1. Bank passbook/account details 1. Documents proof of possessing agricultural land 1. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=102,,,,Meghalaya,True
Maintenance of Horti Hubs,"The scheme ï¿½ï¿½ï¿½Maintenance of Horti Hubsï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to procure good quality disease-free and commercially accepted varieties of the identified flowers &amp;amp; multiply and to serve as a demonstration cum training ground for those who are interested in Floriculture and who intend to make this as their mea",Agriculture,Government of India,The applicants should be a permanent resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in agriculture. 1. The applicant/farmer should own or lease land of at least 0.2 hectares or more.,"&gt; Pattern of Assistance: Organizing demonstration cum training on hi-tech floriculture for farmers who are interested in floriculture, and renovation/repairing of old hubs. &gt; Type of Assistance: Demonstration and Training","&gt; Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at your nearest office of the Horticulture Development Officer of a CD Block/Horticulture Circle. &gt; Mode of Selection of Beneficiary(s): The eligible bonafide farmers shall be selected on a first come first serve basis. &gt; Whom to Contact: Below officials can be contacted for any concerns or queries: - [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) - Horticulture Development Officer",Passport-size photograph 1. Identity Proof 1. Bank passbook/account details 1. Documents proof of possessing own or leased land 1. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=104,,,,Meghalaya,True
Plant Protection Scheme,"The scheme ï¿½ï¿½ï¿½Plant Protection Schemeï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to control pests and diseases including weeds and rodents of horticultural crops by the distribution of bio-pesticides/Bio-agents and equipmen",Agriculture,Government of India,"The applicant/farmer should be a resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in Agriculture, possessing own or leased land of at least 0.2 (hectares) or more. Note: The applicant farmer can avail of the benefits of the scheme on a first come first serve basis.",> Pattern of Assistance: Supply of Bio-pesticides/Bio-agents and equipment at 50% subsidy. > Type of Assistance: 1. Free distribution of Bio-pesticides/Bio-agents. 2. 50% subsidy sale on Plant protection equipment.,"> Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at your nearest office of the Horticulture Development Officer of a CD Block/ Horticulture Circle. &gt; Mode of Selection of Beneficiary(s): Bonafide farmers on a first come first serve basis. &gt; Whom to Contact: 1. [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) 2. Horticulture Development Officer.",Passport-size photograph 2. Identity Proof 3. Bank passbook/account details 4. Documents proof of possessing own or leased land 5. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=99,,,,Meghalaya,True
Supply of Radio to the Blind Persons,"The scheme ï¿½ï¿½ï¿½Supply of Radio to the Blind Persons&quot; was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, a radio is provided to the blind person for recreation. In order to be eligible, the applicant should have disability of 40% or above, and should be a Native/Resident of the Union Territory of Puducherry for at least 5 ye",Social Welfare,Government of India,"- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The applicant should be blind. - The applicant should have disability of 40% or above. - The annual income of the applicant should not exceed ï¿½ï¿½ï¿½ 75,00",A radio is provided to the blind person for recreation.,"Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare Department (Sub Office).- Mahe / Yanam: The Welfare Officer (i\c), Social Welfar","- Aadhaar Card. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Disability Certificate / Medical Certificate.",https://socwelfare.py.gov.in/supply-radio-blind-persons,,,,Puducherry,True
